Bengaluru,2018,Assault on women with intent to outrage her modesty,321,7.9
Bengaluru,2018,Insult to the modesty of women,51,1.3
Bengaluru,2018,Sexual harassment and molestation of women,372,0
Bhopal,2018,Assault on women with intent to outrage her modesty,202,22.5
Bhopal,2018,Insult to the modesty of women,29,3.2
Bhopal,2018,Sexual harassment and molestation of women,231,0
Chandigarh,2018,Assault on women with intent to outrage her modesty,43,9.3
Chandigarh,2018,Insult to the modesty of women,23,5
Chandigarh,2018,Sexual harassment and molestation of women,66,0
Chennai,2018,Assault on women with intent to outrage her modesty,90,2.1
Chennai,2018,Insult to the modesty of women,141,3.3
Chennai,2018,Sexual harassment and molestation of women,231,0
Coimbatore,2018,Assault on women with intent to outrage her modesty,17,1.6
Coimbatore,2018,Insult to the modesty of women,2,0.2
Coimbatore,2018,Sexual harassment and molestation of women,19,0
Delhi,2018,Assault on women with intent to outrage her modesty,639,8.4
Delhi,2018,Insult to the modesty of women,181,2.4
Delhi,2018,Sexual harassment and molestation of women,820,0
Dhanbad,2018,Assault on women with intent to outrage her modesty,4,0.7
Dhanbad,2018,Insult to the modesty of women,0,0
Dhanbad,2018,Sexual harassment and molestation of women,4,0
Durg-Bhilainagar,2018,Assault on women with intent to outrage her modesty,139,26.8
Durg-Bhilainagar,2018,Insult to the modesty of women,23,4.4
Durg-Bhilainagar,2018,Sexual harassment and molestation of women,162,0
Faridabad,2018,Assault on women with intent to outrage her modesty,31,4.7
Faridabad,2018,Insult to the modesty of women,84,12.8
Faridabad,2018,Sexual harassment and molestation of women,115,0
Ghaziabad,2018,Assault on women with intent to outrage her modesty,34,3.1
Ghaziabad,2018,Insult to the modesty of women,37,3.4
Ghaziabad,2018,Sexual harassment and molestation of women,71,0
Gwalior,2018,Assault on women with intent to outrage her modesty,110,21.4
Gwalior,2018,Insult to the modesty of women,11,2.1
Gwalior,2018,Sexual harassment and molestation of women,121,0
Hyderabad,2018,Assault on women with intent to outrage her modesty,145,3.9
Hyderabad,2018,Insult to the modesty of women,141,3.7
Hyderabad,2018,Sexual harassment and molestation of women,286,0
India,2018,Assault on women with intent to outrage her modesty,45351,7.7
India,2018,Insult to the modesty of women,9173,1.6
India,2018,Sexual harassment and molestation of women,54524,0
Indore,2018,Assault on women with intent to outrage her modesty,297,28.6
Indore,2018,Insult to the modesty of women,90,8.7
Indore,2018,Sexual harassment and molestation of women,387,0
Jabalpur,2018,Assault on women with intent to outrage her modesty,160,26.5
Jabalpur,2018,Insult to the modesty of women,41,6.8
Jabalpur,2018,Sexual harassment and molestation of women,201,0
Jaipur,2018,Assault on women with intent to outrage her modesty,91,6.3
Jaipur,2018,Insult to the modesty of women,0,0
Jaipur,2018,Sexual harassment and molestation of women,91,0
Jamshedpur,2018,Assault on women with intent to outrage her modesty,18,2.8
Jamshedpur,2018,Insult to the modesty of women,2,0.3
Jamshedpur,2018,Sexual harassment and molestation of women,20,0
Jodhpur,2018,Assault on women with intent to outrage her modesty,43,8
Jodhpur,2018,Insult to the modesty of women,0,0
Jodhpur,2018,Sexual harassment and molestation of women,43,0
Kannur,2018,Assault on women with intent to outrage her modesty,40,4.5
Kannur,2018,Insult to the modesty of women,5,0.6
Kannur,2018,Sexual harassment and molestation of women,45,0
Kanpur,2018,Assault on women with intent to outrage her modesty,57,4.3
Kanpur,2018,Insult to the modesty of women,0,0
Kanpur,2018,Sexual harassment and molestation of women,57,0
Kochi,2018,Assault on women with intent to outrage her modesty,108,10
